agent_id,episode_id,step,price,quantity,capital,costs,profit,revenue,demand_for_price,sold_units,leftover_units,classification_accuracy,regression_error_value,supervision_reward_factor,reward,action
1,1,24,3.9749879557579617,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,21
2,1,24,1.3238348110829117,67.0,,1,21.69693,88.69693234255509,67.61651889170884,0,0,0,1,1.0,21.69693,10
0,1,25,3.0312096547378977,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,37
1,1,25,2.104930526846225,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,0
2,1,25,1.5445012138863812,45.0,,1,24.502556,69.50255462488715,45.54987861136189,0,0,0,1,1.0,24.502556,21
0,1,26,1.6424537400940604,17.0,,1,10.921713,27.92171358159903,35.75462599059395,0,0,0,1,1.0,10.921713,1
1,1,26,2.2310366065896488,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,27
2,1,26,1.7461910404587466,18.0,,1,13.431438,31.43143872825744,25.38089595412535,0,0,0,1,1.0,13.431438,26
0,1,27,1.7586120524761053,16.0,,1,12.137793,28.137792839617685,24.138794752389458,0,0,0,1,1.0,12.137793,15
1,1,27,2.0298607943450997,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,8
2,1,27,1.8112524733100503,8.0,,1,6.49002,14.490019786480403,18.874752668994972,0,0,0,1,1.0,6.49002,13
0,1,28,1.967663150783347,0.0,,1,0.0,0,3.2336849216652865,0,0,0,1,1.0,0.0,34
1,1,28,2.1017632983777506,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,16
2,1,28,1.9304048708789805,6.0,,1,5.582429,11.582429225273883,6.959512912101957,0,0,0,1,1.0,5.582429,18
0,1,29,2.1121577557658133,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,28
1,1,29,1.5212014201904396,24.0,,1,12.508835,36.50883408457055,47.87985798095605,0,0,0,1,1.0,12.508835,4
2,1,29,1.2404901743375005,51.0,,1,12.264999,63.26499889121253,75.95098256624995,0,0,0,1,1.0,12.264999,3
0,1,30,0.7507976552371591,70.0,,1,-17.444164,52.55583586660114,124.9202344762841,0,0,0,1,1.0,-17.444164,0
1,1,30,1.6940978071443253,27.0,,1,18.740643,45.740640792896784,30.590219285567457,0,0,0,1,1.0,18.740643,19
2,1,30,1.4945449364570602,27.0,,1,13.352715,40.35271328434062,50.54550635429399,0,0,0,1,1.0,13.352715,25
0,1,31,1.9376673093847583,3.0,,1,2.813002,5.813001928154275,6.233269061524169,0,0,0,1,1.0,2.813002,47
1,1,31,3.3342045145418173,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,49
2,1,31,0.8027864986539622,116.0,,1,-22.876762,93.12323384385962,119.72135013460378,0,0,0,1,1.0,-22.876762,2
0,1,32,2.1051811404713576,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,32
1,1,32,3.381270610338557,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,27
2,1,32,1.0264583330986914,97.0,,1,2.5664597,99.56645831057307,97.35416669013087,0,0,0,1,1.0,2.5664597,10
0,1,33,2.2853965118398474,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,35
1,1,33,3.451101017212244,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,32
2,1,33,1.3469863680741798,65.0,,1,22.554115,87.55411392482169,65.30136319258202,0,0,0,1,1.0,22.554115,29
0,1,34,2.465163757211483,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,36
1,1,34,3.4588886649152832,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,20
2,1,34,3.3815715894058296,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,50
0,1,35,3.1712276785326754,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,45
1,1,35,3.5019606733509385,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,27
2,1,35,3.451392453412303,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,32
0,1,36,3.1974036395004153,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,22
1,1,36,2.551770925626784,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,3
2,1,36,2.9721147711040308,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,6
0,1,37,3.208503630462505,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,19
1,1,37,2.8323697017385454,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,40
2,1,37,4.979019359856219,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,50
0,1,38,3.2932397603329253,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,33
1,1,38,2.7828229421609447,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,13
2,1,38,4.961861150111062,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,20
0,1,39,3.242161602322979,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,14
1,1,39,2.8074725469520074,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,18
2,1,39,3.0122905072891384,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,0
0,1,40,2.9537205108598097,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,8
1,1,40,4.1101225425491075,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,48
2,1,40,3.2290473351158253,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,39
0,1,41,3.019337517360605,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,28
1,1,41,4.343124983352714,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,40
2,1,41,4.840792562132989,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,49
0,1,42,3.0223533634589304,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,17
1,1,42,4.332168378414919,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,20
2,1,42,4.790653926389752,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,16
0,1,43,3.5823862125774295,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,44
1,1,43,5.002121211717871,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,45
2,1,43,6.7917775282805435,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,50
0,1,44,2.39216324006269,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,2
1,1,44,4.736679410454848,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,9
2,1,44,6.768744613648621,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,20
0,1,45,2.0049712515532114,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,6
1,1,45,4.764634245341507,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,29
2,1,45,6.911163064833981,0.0,,1,0.0,0,0.0,0,0,0,1,1.0,0.0,38
0,1,46,1.9775829039658979,2.0,,1,1.9551659,3.9551658079317957,2.2417096034102144,0,0,0,1,1.0,1.9551659,11
